timestamp,tipo_gerador,tipo_atividade,bairro_cidade,tipos_residuo,residuos_organicos,especificacao_residuos,origem_residuo,frequencia_descarte,quantidade_gerada,destino_atual,custo_destinacao,potencial_reaproveitamento,caracteristica_residuo,tentativa_reutilizacao,melhor_solucao,num_pessoas,conscientizacao,interesse_aprender
27/02/2026 16:57:03,Pessoa física (residência),Residencial,Jardim Itália,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão","Restos de comida, Cascas de frutas, Casca de ovos, Borra de café, Sementes de frutas, Cascas de legumes e verduras, Frutas estragadas, Legumes e verduras estragadas","Cascas de ovos, borra de café, cascas de frutas.",Consumo diário,,5–10 kg por semana,Coleta seletiva,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Não,,1 a 3,,Sim
27/02/2026 17:02:53,Pessoa física (residência),Serviços,Chapecó (sem bairro),"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão, Vidro, Metal","Restos de comida, Cascas de frutas, Casca de ovos, Borra de café",Orgânicos provenientes de alimentos do dia-a-dia e recicláveis (embalagens),Consumo diário,,5–10 kg por semana,Coleta seletiva,Sim,Não,"Alto teor orgânico, É úmido, É seco",Não,,1 a 3,,Talvez
27/02/2026 17:11:53,Pessoa física (residência),Residencial,Pinhalzinho,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos, Sementes de frutas, Cascas de legumes e verduras","Cascas de banana, arroz, semente de maçã, casca de laranja, embalagens ",Consumo diário,,1–5 kg por semana,Coleta seletiva,Não,Sim,"Alto teor orgânico, É úmido, É seco, Contém vitaminas, minerais e compostos nutritivos",Sim,,4 a 6,,Sim
27/02/2026 17:12:05,Pessoa física (residência),Residencial,Germânico,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos","cascas de frutas, sobra de refeiçoes",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Não,"Alto teor orgânico, Contém vitaminas, minerais e compostos nutritivos",Não,,4 a 6,,Talvez
27/02/2026 17:12:11,Instituição pública,Serviços,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço)","Restos de comida, Cascas de frutas, Casca de ovos",casca de diversas frutas,Processo produtivo,,1–5 kg por semana,Não sei,Não sei,Sim,"É úmido, Contém vitaminas, minerais e compostos nutritivos",Não,,10 a 30,,Talvez
27/02/2026 17:12:25,Pessoa física (residência),Residencial,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Frutas estragadas",comida de panela cascas de banana melão melancia ,Consumo diário,,Não sei estimar,Compostagem,Não,Nunca pensei sobre isso,É úmido,Sim,,4 a 6,,Talvez
27/02/2026 17:12:30,Pessoa física (residência),Comércio,Outro,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Óleo residual","Restos de comida, Cascas de frutas, Casca de ovos",Borra de cafe...,Consumo diário,,Não sei estimar,Coleta pública comum,Não sei,Não,Não sei informar,Não,,Mais de 50 pessoas,,Talvez
27/02/2026 17:12:38,Pessoa física (residência),Indústria em geral,Alvorada,"Orgânicos (restos de alimentos, cascas, bagaço), Papelão","Restos de comida, Borra de café, Frutas estragadas","sobra de café, frutas podre, erva mate",Consumo diário,,Não sei estimar,Coleta pública comum,Não sei,Sim,Não sei informar,Sim,,30 a 50,,Talvez
27/02/2026 17:12:39,Pessoa física (residência),Comércio,Primavera,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras","resto de comida, casca de legumes....................",Consumo diário,,5–10 kg por semana,Coleta pública comum,Não sei,Sim,"É úmido, Contém vitaminas, minerais e compostos nutritivos",Não,,Mais de 50 pessoas,,Talvez
27/02/2026 17:13:10,Pessoa física (residência),Residencial,Frei Bruno,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Casca de ovos, Borra de café, Cascas de legumes e verduras","Erva mate, cascas de frutas ",Consumo diário,,5–10 kg por semana,Compostagem,Não,Sim,"Alto teor orgânico, É úmido",Sim,,4 a 6,,Sim
